kind	id	family	support	strategy	trim	conditions
curve	5159	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	5161	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	5171	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	5180	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	5183	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	5192	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	5195	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	5198	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	5211	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	5212	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	5215	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	5218	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	5336	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	5337	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	5338	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	5342	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	5346	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	7666	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	7670	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	7675	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	7677	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	7944	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	7945	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	7946	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	7947	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8257	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8268	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8269	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8397	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8423	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8424	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8426	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8427	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8429	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8430	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8432	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8433	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8435	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8436	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8438	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8498	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8505	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8508	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8514	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8517	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8523	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8526	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8532	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8535	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8542	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8544	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8560	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8631	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8636	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8637	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8653	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8654	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8655	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	8656	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	9167	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	9169	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	9217	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	9273	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	9277	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	9298	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	9302	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	9397	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	9441	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	9450	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	9466	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	9541	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	9544	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	9641	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
